Fecha inicial;PM10
11/12/2023 21:00;29.35
11/12/2023 20:00;26.31
11/12/2023 19:00;61.6
11/12/2023 18:00;89.53
11/12/2023 17:00;37.43
11/12/2023 16:00;52.95
11/12/2023 15:00;44.32
11/12/2023 14:00;23.08
11/12/2023 13:00;34.2
11/12/2023 12:00;41.63
11/12/2023 10:00;16.7
11/12/2023 9:00;31.06
11/12/2023 8:00;55.49
11/12/2023 7:00;38.2
11/12/2023 6:00;33.2
11/12/2023 5:00;18.56
11/12/2023 4:00;18.6
11/12/2023 3:00;16.46
11/12/2023 2:00;19.0
11/12/2023 1:00;16.9
11/12/2023 0:00;18.36
10/12/2023 23:00;18.38
10/12/2023 22:00;11.88
10/12/2023 21:00;17.09
10/12/2023 20:00;13.57
10/12/2023 19:00;11.7
10/12/2023 18:00;5.0
10/12/2023 10:00;5.88
10/12/2023 4:00;8.38
10/12/2023 2:00;9.33
10/12/2023 1:00;18.1
10/12/2023 0:00;18.63
9/12/2023 22:00;24.52
9/12/2023 21:00;31.55
9/12/2023 20:00;20.15
9/12/2023 19:00;13.48
9/12/2023 18:00;8.39
9/12/2023 17:00;5.36
9/12/2023 15:00;4.78
9/12/2023 14:00;5.88
9/12/2023 13:00;12.23
9/12/2023 12:00;13.39
9/12/2023 11:00;16.36
9/12/2023 10:00;13.58
9/12/2023 9:00;17.51
9/12/2023 8:00;26.11
9/12/2023 7:00;25.14
9/12/2023 6:00;20.78
9/12/2023 5:00;12.19
9/12/2023 3:00;12.95
9/12/2023 2:00;18.1
9/12/2023 1:00;26.5
9/12/2023 0:00;39.45
8/12/2023 23:00;40.0
8/12/2023 22:00;35.35
8/12/2023 21:00;34.44
8/12/2023 20:00;30.53
8/12/2023 19:00;26.61
8/12/2023 18:00;15.61
8/12/2023 17:00;13.05
8/12/2023 16:00;11.79
8/12/2023 15:00;9.11
8/12/2023 14:00;7.8
8/12/2023 13:00;6.22
8/12/2023 12:00;6.32
8/12/2023 9:00;18.06
8/12/2023 8:00;29.61
8/12/2023 5:00;45.22
8/12/2023 4:00;49.15
8/12/2023 3:00;37.06
8/12/2023 2:00;30.77
8/12/2023 1:00;36.66
8/12/2023 0:00;41.93
7/12/2023 23:00;51.6
7/12/2023 21:00;52.3
7/12/2023 20:00;27.81
7/12/2023 19:00;17.96
7/12/2023 18:00;12.19
7/12/2023 17:00;14.27
7/12/2023 16:00;17.65
7/12/2023 15:00;18.85
7/12/2023 14:00;37.32
7/12/2023 13:00;23.88
7/12/2023 12:00;32.5
7/12/2023 11:00;33.95
7/12/2023 10:00;41.22
7/12/2023 9:00;78.53
7/12/2023 8:00;97.88
